"Date","Open","High","Low","Close","Volume","OpenInt"
02/24/95,69.140,69.140,69.140,69.140,44325,105722
02/27/95,69.040,69.040,69.040,69.040,35856,105515
02/28/95,69.160,69.160,69.160,69.160,35568,105051
03/01/95,69.080,69.080,69.080,69.080,34024,105041
03/02/95,69.100,70.030,69.100,70.030,53518,108861
03/03/95,70.600,70.980,70.600,70.980,69275,107639
03/06/95,72.100,72.400,72.100,72.270,94694,114998
03/07/95,73.650,74.100,73.650,74.070,84667,119737
03/08/95,73.300,73.300,72.300,72.530,66135,113750
03/09/95,72.350,72.900,72.350,72.620,54136,109414
03/10/95,72.000,72.000,71.350,71.500,56690,108876
03/13/95,71.700,72.180,71.700,71.970,44571,97681
03/14/95,71.900,71.900,71.410,71.410,31555,58082
03/15/95,71.660,72.800,71.410,71.410,39864,59789
03/16/95,71.660,72.800,71.660,72.720,33425,58732
03/17/95,73.000,73.100,73.000,73.000,21913,58124
03/20/95,72.130,72.130,71.940,72.130,27716,58463
03/21/95,71.740,71.740,71.740,71.740,32098,56947
03/22/95,72.100,72.300,72.100,72.210,27418,56757
03/23/95,72.220,72.350,72.100,72.170,23980,56235
03/24/95,72.000,72.000,71.200,71.420,28554,55122
03/27/95,71.500,72.000,71.500,71.930,27462,56240
03/28/95,72.250,73.000,72.250,72.990,33183,57783
03/29/95,73.530,73.600,73.200,73.320,29863,59115
03/30/95,72.200,72.200,71.800,71.890,30436,58170
03/31/95,73.200,74.300,73.200,73.860,31335,58125
04/03/95,74.080,74.080,74.080,74.080,23136,56794
04/04/95,73.300,73.690,73.200,73.690,27610,57978
04/05/95,73.870,74.120,73.400,74.120,32189,60480
04/06/95,73.800,73.900,73.750,73.900,25741,58401
04/07/95,73.700,73.910,73.500,73.810,27999,58524
04/10/95,72.800,72.800,71.600,72.010,75611,59656
04/11/95,72.250,72.400,72.250,72.360,25331,58208
04/12/95,72.300,72.460,72.300,72.460,23067,57893
04/13/95,73.100,73.100,72.850,73.050,21575,58943
04/17/95,74.310,74.310,74.050,74.090,34242,60599
04/18/95,74.250,75.000,74.250,75.000,33152,62066
04/19/95,74.750,75.050,74.000,74.060,40215,65230
04/20/95,73.250,74.100,73.140,73.170,33175,65666
04/21/95,73.900,73.940,73.500,73.940,26650,64604
04/24/95,74.150,74.300,73.400,73.660,32584,63656
04/25/95,74.430,74.500,74.080,74.080,33717,66309
04/26/95,74.000,74.000,73.200,73.970,39373,67038
04/27/95,74.100,74.100,73.700,73.770,22129,67295
04/28/95,73.700,73.700,73.050,73.160,34078,67789
05/01/95,72.980,72.980,72.980,72.980,16449,66609
05/02/95,73.800,73.800,73.590,73.590,24222,67609
05/03/95,73.930,73.930,73.800,73.850,25260,69913
05/04/95,73.780,74.140,73.780,73.870,27051,71513
05/05/95,74.300,74.300,73.690,73.690,32839,73474
05/08/95,74.150,74.150,74.050,74.060,44156,77325
05/09/95,74.000,74.000,73.320,73.320,29880,70925
05/10/95,73.080,73.080,72.700,72.910,37660,70674
05/11/95,71.700,71.700,70.500,70.580,72738,72177
05/12/95,70.200,70.200,69.900,69.920,40174,71985
05/15/95,70.000,70.290,69.770,70.290,34547,68991
05/16/95,70.000,70.490,69.500,70.200,32320,70884
05/17/95,70.500,70.700,69.850,69.890,26233,69169
05/18/95,69.450,70.300,69.200,70.180,39822,70799
05/19/95,69.920,69.920,69.920,69.920,20521,69591
05/22/95,70.300,70.400,70.250,70.280,26678,69047
05/23/95,70.100,70.600,69.900,70.100,23973,68388
05/24/95,70.000,70.600,70.000,70.230,18008,68303
05/25/95,71.300,72.430,71.200,72.430,47230,74191
05/26/95,73.200,73.600,73.200,73.560,27988,75005
05/30/95,72.900,72.900,72.800,72.820,22107,73055
05/31/95,71.800,71.800,71.530,71.530,34519,73477
06/01/95,71.000,71.800,71.000,71.620,35701,75083
06/02/95,72.000,72.000,71.300,71.480,38893,74454
06/05/95,71.400,71.850,71.380,71.640,22492,73590
06/06/95,71.600,71.600,71.050,71.480,24846,74700
06/07/95,71.500,71.850,71.500,71.780,24361,75743
06/08/95,71.500,71.850,71.200,71.790,34914,74842
06/09/95,71.850,72.200,71.850,72.060,30277,76521
06/12/95,72.100,72.200,72.080,72.080,51001,76011
06/13/95,72.320,72.320,71.760,71.760,32310,76343
06/14/95,72.000,72.100,72.000,72.070,36538,76073
06/15/95,71.500,71.720,71.480,71.720,28572,73172
06/16/95,72.130,72.130,72.130,72.130,22980,70803
06/19/95,72.180,72.180,72.180,72.180,27091,68849
06/20/95,72.300,72.610,72.300,72.610,29732,34043
06/21/95,72.570,72.810,72.570,72.810,17795,34445
06/22/95,72.900,73.000,72.100,72.160,27615,34205
06/23/95,72.300,72.850,72.300,72.750,24953,36504
06/26/95,72.500,72.560,72.420,72.560,20175,36317
06/27/95,72.700,72.850,72.700,72.780,26189,36914
06/28/95,72.500,72.600,71.950,72.150,33865,39505
06/29/95,72.750,73.400,72.750,73.120,33722,40607
06/30/95,73.000,73.000,72.750,72.940,18669,40208
07/03/95,73.120,73.140,73.120,73.120,5071,39733
07/05/95,73.120,73.120,73.050,73.080,9984,39882
07/06/95,73.000,73.060,73.000,73.060,16468,41254
07/07/95,72.280,72.390,71.800,72.390,34032,42708
07/10/95,72.100,72.310,72.100,72.310,23018,42656
07/11/95,71.850,71.850,71.650,71.810,26844,43332
07/12/95,71.790,71.840,71.790,71.830,19195,43543
07/13/95,71.950,72.600,71.950,72.480,39698,46512
07/14/95,72.470,72.470,72.470,72.470,18502,45557
07/17/95,72.100,72.300,72.000,72.300,20271,45251
07/18/95,72.450,72.670,72.450,72.670,21946,46084
07/19/95,72.700,73.400,72.600,73.310,36830,50077
07/20/95,73.000,73.150,72.800,72.990,23698,52005
07/21/95,72.800,72.810,72.620,72.810,14025,51229
07/24/95,72.820,72.820,72.820,72.820,12864,50910
07/25/95,72.750,72.750,72.390,72.390,26247,50199
07/26/95,72.350,72.800,72.350,72.800,22395,50831
07/27/95,72.790,73.000,72.790,72.890,18220,51106
07/28/95,72.700,73.030,72.700,73.010,21472,51953
07/31/95,73.110,73.110,72.850,72.850,14354,51819
08/01/95,73.000,73.300,73.000,73.260,26662,54136
08/02/95,72.600,72.600,72.000,72.200,48361,57632
08/03/95,72.390,72.650,72.390,72.480,22683,56710
08/04/95,72.480,72.480,72.200,72.240,20646,56968
08/07/95,71.900,71.900,71.670,71.670,22714,58658
08/08/95,71.630,71.650,71.500,71.640,22486,58257
08/09/95,71.740,71.800,71.720,71.720,15844,57911
08/10/95,70.900,71.120,70.900,71.120,33766,62667
08/11/95,70.450,70.450,70.140,70.140,34941,63475
08/14/95,70.150,70.350,70.150,70.320,24405,64107
08/15/95,68.250,68.530,68.240,68.240,38116,66074
08/16/95,68.350,68.420,68.190,68.190,30037,66432
08/17/95,68.230,68.750,68.000,68.550,30107,66115
08/18/95,68.350,68.600,68.350,68.400,15538,65787
08/21/95,68.510,68.510,68.300,68.310,17071,65630
08/22/95,67.850,68.000,67.800,67.910,21245,66481
